mu,gamma_width_pair_B_sigma1,gamma_width_pair_B_sigma2,variance_lockin_EP3_pair_B
0.012000000000000002,1.3651382698982797,1.3678824628243107,7940.3730498582399
0.013910049495386502,1.2999474594288101,1.3022011086187744,4853.0830231799582
0.016124123080341852,1.2464234241994103,1.2482742218888867,2966.1663094493133
0.018690612509771571,1.2024828295222658,1.2040027928906563,1812.9040199681415
0.021665612092501053,1.1664151445200377,1.1676634179870651,1108.0428900569389
0.025114144712877824,1.1368160714157056,1.1378412280467911,677.23937253912209
0.029111582999202475,1.1125328890607613,1.1133748206213552,413.9366729484226
0.033745296700663216,1.0926195836137418,1.093311052799089,253.00848570903437
0.039116562278560668,1.076300019879042,1.0768679350890409,154.65034671386107
0.045342776448678949,1.062937719303747,1.0634041815191633,94.534212305689636
0.052560022054947426,1.052011067088134,1.0523942295126623,57.791051089974353
0.060926042355243723,1.0430929811725549,1.0434077549901377,35.333074033341575
0.070623688726621212,1.0358342481004676,1.0360928816811741,21.605925594342072
0.081864917144505833,1.029949871583113,1.0301624255411568,13.214851938997487
0.094895420784649243,1.0252078946617145,1.0253826311883494,8.0850357612854076
0.11,1.0214202509236197,1.0215639527544864,4.9484101538140619
